edition,name,count
"ala","Algae Gharial",1
"arb","Blitz Hellion",1
"arb","Bloodbraid Elf",1
"ala","Elvish Visionary",1
"con","Gluttonous Slime",1
"arb","Godtracker of Jund",1
"arb","Gorger Wurm",1
"arb","Rhox Brute",1
"ala","Rockslide Elemental",1
"arb","Spellbreaker Behemoth",1
"ala","Thunder-Thrash Elder",1
"con","Tukatongue Thallid",1
"arb","Valley Rannet",2
"ala","Dragon Fodder",2
"ala","Sangrite Surge",1
"arb","Vengeful Rebirth",1
"arb","Colossal Might",1
"10e","Incinerate",2
"10e","Shock",2
"ala","Forest",8
"ala","Mountain",8
"10e","Terramorphic Expanse",2
