edition,name,count
"akh","Gideon, Martial Paragon",1
"akh","Glory-Bound Initiate",1
"akh","Gust Walker",3
"akh","Nef-Crop Entangler",1
"akh","Pathmaker Initiate",1
"akh","Honored Crop-Captain",2
"akh","Companion of the Trials",3
"akh","Devoted Crop-Mate",1
"akh","Graceful Cat",4
"akh","Ahn-Crop Crasher",3
"akh","Sparring Mummy",2
"akh","Tah-Crop Elite",1
"akh","Hyena Pack",2
"akh","Impeccable Timing",1
"akh","Electrify",2
"akh","Cartouche of Zeal",2
"akh","Hazoret's Favor",1
"akh","Trial of Zeal",3
"akh","Gideon's Resolve",2
"akh","Stone Quarry",4
"akh","Plains",10
"akh","Mountain",10
