edition,name,count
"apc","Helionaut",1
"inv","Wayfaring Giant",1
"inv","Nomadic Elf",1
"inv","Quirion Elves",2
"apc","Urborg Elf",2
"apc","Penumbra Bobcat",3
"inv","Quirion Trailblazer",1
"apc","Penumbra Kavu",2
"apc","Penumbra Wurm",1
"apc","Emblazoned Golem",1
"pls","Stratadon",1
"pls","Allied Strategies",2
"inv","Tribal Flames",2
"apc","Lay of the Land",3
"apc","Gaea's Balance",1
"apc","Last Stand",1
"apc","Life // Death",1
"apc","Evasive Action",2
"inv","Harrow",3
"apc","Captain's Maneuver",1
"apc","Order // Chaos",1
"inv","Exotic Curse",2
"inv","Fertile Ground",2
"inv","Plains",3
"inv","Island",3
"inv","Swamp",3
"inv","Mountain",2
"inv","Forest",12
