edition,name,count
"arc","Architects of Will",1
"arc","Duplicant",1
"arc","Ethersworn Shieldmage",1
"arc","Juggernaut",1
"arc","Leonin Abunas",1
"arc","Lodestone Golem",1
"arc","Magister Sphinx",1
"arc","Master Transmuter",1
"arc","Memnarch",1
"arc","Metallurgeon",1
"arc","Sanctum Gargoyle",2
"arc","Sundering Titan",1
"arc","Synod Centurion",1
"arc","Agony Warp",2
"arc","Batwing Brume",1
"arc","Spin into Myth",1
"arc","Unmake",1
"arc","Aether Spellbomb",2
"arc","Azorius Signet",1
"arc","Dimir Signet",1
"arc","Dreamstone Hedron",1
"arc","Everflowing Chalice",1
"arc","Fieldmist Borderpost",1
"arc","Lightning Greaves",1
"arc","Mistvein Borderpost",1
"arc","Obelisk of Esper",1
"arc","Skullcage",1
"arc","Sorcerer's Strongbox",1
"arc","Sun Droplet",1
"arc","Synod Sanctum",1
"arc","Thunderstaff",1
"arc","Unbender Tine",1
"arc","March of the Machines",1
"arc","Island",10
"arc","Plains",7
"arc","Swamp",5
"arc","Terramorphic Expanse",2
