edition,name,count
"arc","Feral Hydra",1
"arc","Fertilid",2
"arc","Forgotten Ancient",1
"arc","Hunting Moa",1
"arc","Kamahl, Fist of Krosa",1
"arc","Krosan Tusker",1
"arc","Leaf Gilder",1
"arc","Molimo, Maro-Sorcerer",1
"arc","Pale Recluse",1
"arc","Sakura-Tribe Elder",2
"arc","Selesnya Guildmage",1
"arc","Shinen of Life's Roar",1
"arc","Thelonite Hermit",1
"arc","Verdeloth the Ancient",1
"arc","Wickerbough Elder",2
"arc","Watchwolf",1
"arc","Yavimaya Dryad",2
"arc","Wall of Roots",2
"arc","Gleeful Sabotage",1
"arc","Harmonize",1
"arc","Primal Command",1
"arc","Fog",1
"arc","Heroes' Reunion",1
"arc","Path to Exile",1
"arc","Plummet",1
"arc","Wax // Wane",1
"arc","Armadillo Cloak",1
"arc","Oblivion Ring",2
"arc","Rancor",1
"arc","Spider Umbra",1
"arc","Forest",10
"arc","Graypelt Refuge",1
"arc","Khalni Garden",1
"arc","Krosan Verge",1
"arc","Llanowar Reborn",1
"arc","Mosswort Bridge",1
"arc","Nantuko Monastery",1
"arc","Plains",5
"arc","Secluded Steppe",1
"arc","Tranquil Thicket",1
"arc","Vitu-Ghazi, the City-Tree",1
