edition,name,count
"oarc","Every Last Vestige Shall Rot",2
"oarc","Evil Comes to Fruition",1
"oarc","I Call on the Ancient Magics",1
"oarc","I Delight in Your Convulsions",1
"oarc","Into the Earthen Maw",1
"oarc","Introductions Are in Order",1
"oarc","May Civilization Collapse",1
"oarc","Nature Demands an Offering",2
"oarc","Realms Befitting My Majesty",1
"oarc","Roots of All Evil",2
"oarc","Your Fate Is Thrice Sealed",1
"oarc","Your Puny Minds Cannot Fathom",1
"oarc","Your Will Is Not Your Own",2
"oarc","Nature Shields Its Own",2
"oarc","The Very Soil Shall Shake",1
