edition,name,count
"rix","Arch of Orazca",1
"xln","Field of Ruin",1
"ana","Island",10
"m19","Meandering River",4
"ana","Plains",9
"rix","Snubhorn Sentry",2
"akh","Labyrinth Guardian",1
"rix","Resplendent Griffin",1
"rix","Slippery Scoundrel",1
"hou","Sunscourge Champion",1
"akh","Vizier of Many Faces",1
"akh","Angel of Sanctions",1
"akh","Glyph Keeper",1
"akh","Angler Drake",1
"akh","Edifice of Authority",1
"rix","Baffling End",1
"akh","Compulsory Rest",1
"hou","Desert's Hold",1
"akh","Cast Out",1
"xln","Ixalan's Binding",1
"rix","Kumena's Awakening",1
"xln","Pious Interdiction",1
"dom","Opt",2
"akh","Censor",1
"m19","Essence Scatter",2
"rix","Expel from Orazca",1
"rix","Negate",1
"m19","Cancel",2
"akh","Forsake the Worldly",1
"hou","Supreme Will",1
"akh","Hieroglyphic Illumination",2
"xln","Spell Swindle",1
"rix","Secrets of the Golden City",2
"xln","River's Rebuke",1
