edition,name,count
"avr","Alchemist's Apprentice",3
"avr","Corpse Traders",1
"avr","Crypt Creeper",1
"avr","Fettergeist",2
"avr","Havengul Skaab",1
"avr","Lone Revenant",1
"avr","Marrow Bats",2
"avr","Mist Raven",2
"avr","Renegade Demon",2
"avr","Undead Executioner",2
"avr","Essence Harvest",2
"avr","Into the Void",2
"avr","Crippling Chill",2
"m12","Doom Blade",2
"m12","Frost Breath",2
"avr","Peel from Reality",2
"m12","Swiftfoot Boots",1
"avr","Tormentor's Trident",2
"avr","Demonic Rising",1
"avr","Homicidal Seclusion",1
"avr","Predator's Gambit",1
"avr","Triumph of Cruelty",1
"avr","Island",11
"avr","Swamp",13
