edition,name,count
"bfz","Zulaport Cutthroat",1
"bfz","Kitesail Scout",2
"bfz","Serene Steward",2
"bfz","Stone Haven Medic",3
"bfz","Hagra Sharpshooter",1
"bfz","Malakir Familiar",2
"bfz","Nirkana Assassin",3
"bfz","Shadow Glider",1
"bfz","Drana's Emissary",2
"bfz","Courier Griffin",2
"bfz","Bloodbond Vampire",2
"bfz","Kalastria Nightwatch",2
"bfz","Felidar Sovereign",1
"bfz","Defiant Bloodlord",1
"bfz","Dutiful Return",2
"bfz","Demon's Grasp",2
"bfz","Gideon's Reproach",2
"bfz","Tandem Tactics",2
"bfz","Roil's Retribution",1
"bfz","Blighted Steppe",1
"bfz","Evolving Wilds",2
"bfz","Mortuary Mire",2
"bfz","Swamp",10
"bfz","Plains",11
