edition,name,count
"bfz","Cliffside Lookout",3
"bfz","Kor Bladewhirl",2
"bfz","Expedition Envoy",2
"bfz","Kor Castigator",2
"bfz","Reckless Cohort",3
"bfz","Makindi Patrol",2
"bfz","Firemantle Mage",2
"bfz","Chasm Guide",1
"bfz","Ondu Champion",1
"bfz","Hero of Goma Fada",1
"bfz","Kor Entanglers",2
"bfz","Shatterskull Recruit",2
"bfz","Angelic Captain",1
"bfz","Resolute Blademaster",1
"bfz","Angel of Renewal",1
"bfz","Lithomancer's Focus",2
"bfz","Outnumber",2
"bfz","Smite the Monstrous",2
"bfz","Inspired Charge",2
"bfz","Angelic Gift",1
"bfz","Blighted Gorge",1
"bfz","Evolving Wilds",2
"bfz","Sandstone Bridge",2
"bfz","Mountain",10
"bfz","Plains",10
