edition,name,count
"bfz","Scythe Leopard",1
"bfz","Lavastep Raider",2
"bfz","Oran-Rief Invoker",2
"bfz","Rot Shambler",1
"bfz","Snapping Gnarlid",2
"bfz","Makindi Sliderunner",1
"bfz","Tunneling Geopede",2
"bfz","Valakut Invoker",2
"bfz","Valakut Predator",1
"bfz","Broodhunter Wurm",2
"bfz","Murasa Ranger",1
"bfz","Grove Rumbler",1
"bfz","Territorial Baloth",2
"bfz","Oran-Rief Hydra",1
"bfz","Seek the Wilds",2
"bfz","Sylvan Scrying",2
"bfz","Reclaiming Vines",1
"bfz","Nissa's Renewal",1
"bfz","Rolling Thunder",1
"bfz","Swell of Growth",1
"bfz","Sure Strike",1
"bfz","Natural Connection",1
"bfz","Stonefury",1
"bfz","Retreat to Kazandu",1
"bfz","Retreat to Valakut",1
"bfz","Blighted Woodland",1
"bfz","Evolving Wilds",3
"bfz","Fertile Thicket",2
"bfz","Mountain",10
"bfz","Forest",10
