edition,name,count
"bok","Nezumi Shadow-Watcher",1
"chk","Nezumi Bone-Reader",2
"chk","Nezumi Cutthroat",3
"chk","Nezumi Graverobber // Nighteyes the Desecrator",1
"bok","Skullsnatcher",4
"chk","Nezumi Ronin",4
"chk","Numai Outcast",2
"bok","Throat Slitter",2
"bok","Okiba-Gang Shinobi",1
"bok","Patron of the Nezumi",1
"bok","Psychic Spear",1
"chk","Befoul",2
"chk","Dance of Shadows",1
"bok","Three Tragedies",2
"bok","Stir the Grave",1
"chk","Rend Flesh",1
"bok","Horobi's Whisper",2
"bok","Shuko",1
"bok","Umezawa's Jitte",1
"bok","Genju of the Fens",1
"chk","Midnight Covenant",1
"chk","Ragged Veins",1
"chk","Swamp",24
