edition,name,count
"gk1","Aurelia, the Warleader",1
"gk1","Boros Reckoner",1
"gk1","Legion Loyalist",1
"gk1","Firemane Avenger",1
"gk1","Spark Trooper",1
"gk1","Agrus Kos, Wojek Veteran",1
"gk1","Firemane Angel",1
"gk1","Razia, Boros Archangel",1
"gk1","Frenzied Goblin",1
"gk1","Boros Elite",1
"gk1","Bomber Corps",1
"gk1","Daring Skyjek",1
"gk1","Boros Swiftblade",2
"gk1","Sunhome Guildmage",2
"grn","Skyknight Legionnaire",2
"grn","Swiftblade Vindicator",1
"grn","Legion Warboss",1
"grn","Light of the Legion",1
"grn","Sunhome Stalwart",1
"grn","Wojek Bodyguard",1
"grn","Blade Instructor",1
"grn","Hammer Dropper",1
"gk1","Brightflame",1
"grn","Gird for Battle",1
"grn","Sworn Companions",1
"gk1","Master Warcraft",1
"gk1","Boros Charm",1
"gk1","Lightning Helix",1
"gk1","Martial Glory",1
"gk1","Boros Signet",2
"gk1","Boros Keyrune",1
"gk1","Boros Garrison",4
"grn","Boros Guildgate",4
"gk1","Sunhome, Fortress of the Legion",1
"gk1","Mountain",8
"gk1","Plains",8
