1,"Helionaut","apc"
1,"Wayfaring Giant","inv"
1,"Nomadic Elf","inv"
2,"Quirion Elves","inv"
2,"Urborg Elf","apc"
3,"Penumbra Bobcat","apc"
1,"Quirion Trailblazer","inv"
2,"Penumbra Kavu","apc"
1,"Penumbra Wurm","apc"
1,"Emblazoned Golem","apc"
1,"Stratadon","pls"
2,"Allied Strategies","pls"
2,"Tribal Flames","inv"
3,"Lay of the Land","apc"
1,"Gaea's Balance","apc"
1,"Last Stand","apc"
1,"Life // Death","apc"
2,"Evasive Action","apc"
3,"Harrow","inv"
1,"Captain's Maneuver","apc"
1,"Order // Chaos","apc"
2,"Exotic Curse","inv"
2,"Fertile Ground","inv"
3,"Plains","inv"
3,"Island","inv"
3,"Swamp","inv"
2,"Mountain","inv"
12,"Forest","inv"
