edition,name,count
"rix","Daring Buccaneer",1
"rix","Goblin Trailblazer",2
"xln","Headstrong Brute",2
"xln","Storm Fleet Pyromancer",2
"rix","Swab Goblin",4
"rix","Swaggering Corsair",2
"rix","Angrath's Ambusher",3
"rix","Fathom Fleet Boarder",2
"xln","Fathom Fleet Cutthroat",1
"rix","Grasping Scoundrel",1
"xln","Dire Fleet Captain",2
"rix","Dire Fleet Neckbreaker",1
"xln","Gilded Sentinel",2
"xln","Repeating Barrage",1
"rix","Angrath's Fury",2
"rix","Impale",1
"xln","Lightning Strike",2
"xln","Sure Strike",3
"xln","Vanquisher's Banner",1
"rix","Cinder Barrens",4
"rix","Mountain",11
"rix","Swamp",9
"rix","Angrath, Minotaur Pirate",1
