edition,name,count
"rix","Champion of Dusk",1
"rix","Paladin of Atonement",1
"xln","Bishop of the Bloodstained",1
"xln","Deathless Ancient",1
"rix","Dusk Legion Zealot",1
"xln","Queen's Bay Soldier",2
"xln","Skymarch Bloodletter",2
"rix","Vampire Champion",4
"xln","Vicious Conquistador",1
"rix","Vraska's Conquistador",3
"rix","Exultant Skymarcher",1
"rix","Famished Paladin",2
"xln","Inspiring Cleric",2
"xln","Skyblade of the Legion",2
"rix","Legion Lieutenant",1
"xln","Gilded Sentinel",2
"rix","Vraska's Scorn",2
"rix","Recover",1
"rix","Moment of Craving",2
"xln","Bright Reprisal",1
"rix","Moment of Triumph",2
"rix","Forsaken Sanctuary",4
"rix","Swamp",11
"rix","Plains",9
"rix","Vraska, Scheming Gorgon",1
