2,"Bile Urchin","bok"
1,"Bloodthirsty Ogre","chk"
3,"Takenuma Bleeder","bok"
3,"Villainous Ogre","chk"
1,"Blood Speaker","chk"
2,"Scourge of Numai","bok"
1,"Yukora, the Prisoner","bok"
2,"Painwracker Oni","chk"
1,"Deathcurse Ogre","chk"
3,"Hearth Kami","chk"
1,"Shinka Gatekeeper","bok"
1,"Initiate of Blood","chk"
1,"Sokenzan Bruiser","chk"
2,"Frost Ogre","bok"
1,"Heartless Hidetsugu","bok"
1,"Mark of the Oni","bok"
2,"Oni Possession","chk"
2,"Call for Blood","bok"
2,"Swallowing Plague","chk"
1,"Kumano’s Blessing","bok"
1,"Overblaze","bok"
2,"Torrent of Stone","bok"
14,"Swamp","chk"
10,"Mountain","chk"
