1,"Traproot Kami","bok"
2,"Loam Dweller","bok"
2,"Petalmane Baku","bok"
3,"Kami of the Hunt","chk"
1,"Budoka Pupil","bok"
1,"Kodama of the Center Tree","bok"
2,"Scaled Hulk","bok"
1,"Orbweaver Kumo","chk"
2,"Lantern Kami","chk"
2,"Waxmane Baku","bok"
2,"Faithful Squire","bok"
2,"Horizon Seed","chk"
1,"Kami of Tattered Shoji","bok"
1,"Oyobi, Who Split the Heavens","bok"
2,"Kodama’s Might","chk"
2,"Vital Surge","bok"
1,"Wear Away","chk"
1,"Roar of Jukai","bok"
2,"Unchecked Growth","bok"
2,"Blessed Breath","chk"
1,"Otherworldly Journey","chk"
2,"Terashi’s Verdict","bok"
14,"Forest","chk"
10,"Plains","chk"
