edition,name,count
"sok","Ghost-Lit Stalker",1
"sok","Gnat Miser",2
"chk","Cruel Deceiver",1
"sok","Hand of Cruelty",1
"sok","Deathmask Nezumi",3
"sok","Skull Collector",1
"sok","Akuta, Born of Ash",1
"sok","Locust Miser",1
"sok","Kemuri-Onna",2
"bok","Okiba-Gang Shinobi",1
"bok","Goblin Cohort",1
"sok","Godo's Irregulars",2
"sok","Akki Underling",3
"sok","Sokenzan Renegade",1
"sok","Sokenzan Spellblade",1
"chk","Honden of Night's Reach",1
"sok","Kagemaro's Clutch",1
"sok","Sink into Takenuma",2
"sok","Death of a Thousand Stings",1
"sok","Barrel Down Sokenzan",3
"bok","Flames of the Blood Hand",1
"chk","Honden of Infinite Rage",1
"sok","Spiraling Embers",2
"sok","Thoughts of Ruin",1
"bok","Shuko",1
"chk","Swamp",13
"chk","Mountain",11
