4,"Elvish Mystic","m15"
2,"Golden Hind","jou"
4,"Heir of the Wilds","ktk"
2,"Mogis's Warhound","jou"
1,"Boon Satyr","ths"
1,"Yasova Dragonclaw","frf"
4,"Fanatic of Xenagos","bng"
1,"Savage Knuckleblade","ktk"
1,"Surrak, the Hunt Caller","dtk"
1,"Thunderbreak Regent","dtk"
1,"Polis Crusher","ths"
1,"Mistcutter Hydra","ths"
2,"Roast","dtk"
1,"Arc Lightning","ktk"
1,"Crater's Claws","ktk"
2,"Wild Slash","frf"
1,"Stubborn Denial","ktk"
2,"Lightning Strike","m15"
2,"Temur Charm","ktk"
1,"Outpost Siege","frf"
4,"Evolving Wilds","dtk"
4,"Frontier Bivouac","ktk"
1,"Temple of Abandon","ths"
10,"Forest","dtk"
5,"Mountain","dtk"
1,"Island","dtk"
