edition,name,count
"ktk","Monastery Swiftspear",1
"ktk","Jeskai Elder",2
"ktk","Leaping Master",1
"ktk","Jeskai Student",1
"ktk","Seeker of the Way",2
"ktk","Jeskai Windscout",2
"ktk","Bloodfire Expert",2
"ktk","Bloodfire Mentor",1
"ktk","Alabaster Kirin",1
"ktk","Highspire Mantis",1
"ktk","Whirlwind Adept",1
"m15","Tireless Missionaries",1
"m15","Serra Angel",1
"ktk","Sage of the Inward Eye",1
"ktk","Warden of the Eye",1
"ktk","Riverwheel Aerialists",1
"m15","Void Snare",1
"m15","Divination",1
"m15","Solemn Offering",1
"m15","Lava Axe",1
"m15","Lightning Strike",1
"ktk","Crippling Chill",1
"ktk","Winterflame",1
"ktk","Jeskai Charm",1
"ktk","Weave Fate",1
"ktk","Smite the Monstrous",1
"ktk","Flying Crane Technique",1
"ktk","Jeskai Banner",2
"m15","Oppressive Rays",1
"ktk","Mystic Monastery",2
"ktk","Swiftwater Cliffs",1
"ktk","Tranquil Cove",1
"ktk","Wind-Scarred Crag",1
"ktk","Island",8
"ktk","Mountain",6
"ktk","Plains",7
