edition,name,count
"pcy","Spur Grappler",4
"pcy","Keldon Berserker",3
"pcy","Zerapa Minotaur",1
"pcy","Latulla, Keldon Overseer",1
"pcy","Scoria Cat",2
"nem","Stampede Driver",1
"mmq","Vine Trellis",2
"pcy","Vintara Snapper",1
"pcy","Silt Crawler",4
"mmq","Squallmonger",2
"pcy","Mungha Wurm",1
"nem","Seal of Fire",2
"pcy","Citadel of Pain",1
"pcy","Rhystic Lightning",2
"mmq","War Cadence",1
"pcy","Flameshot",1
"pcy","Barbed Field",1
"mmq","Kyren Negotiations",1
"mmq","Invigorate",2
"nem","Reverent Silence",1
"mmq","Desert Twister",1
"pcy","Chimeric Idol",1
"mmq","Forest",10
"mmq","Mountain",14
