edition,name,count
"mmq","Crossbow Infantry",1
"pcy","Sword Dancer",1
"nem","Defiant Vanguard",1
"pcy","Glittering Lion",2
"pcy","Mine Bearer",2
"pcy","Shield Dancer",3
"nem","Chieftain en-Dal",1
"pcy","Diving Griffin",2
"pcy","Reveille Squad",1
"mmq","Trap Runner",2
"pcy","Mageta the Lion",1
"pcy","Spiketail Hatchling",3
"mmq","Waterfront Bouncer",2
"nem","Stronghold Machinist",1
"pcy","Ribbon Snake",3
"mmq","Disenchant",1
"pcy","Rhystic Shield",1
"nem","Seal of Cleansing",1
"nem","Topple",1
"pcy","Rhystic Circle",1
"nem","Daze",1
"pcy","Rethink",1
"pcy","Rhystic Study",1
"pcy","Foil",1
"pcy","Heightened Awareness",1
"mmq","Plains",14
"mmq","Island",10
