1,"Viridian Acolyte","dst"
1,"Joiner Adept","5dn"
2,"Sylvok Explorer","5dn"
3,"Suntouched Myr","5dn"
2,"Etched Oracle","5dn"
3,"Skyreach Manta","5dn"
2,"Spinal Parasite","5dn"
1,"Sawtooth Thresher","5dn"
1,"Lunar Avenger","5dn"
1,"Suncrusher","5dn"
2,"Tel-Jilad Justice","5dn"
1,"Journey of Discovery","mrd"
1,"Dawn's Reflection","5dn"
2,"Chromatic Sphere","mrd"
1,"Wayfarer’s Bauble","5dn"
2,"Darksteel Pendant","dst"
2,"Energy Chamber","5dn"
2,"Pentad Prism","5dn"
3,"Darksteel Ingot","dst"
2,"Infused Arrows","5dn"
2,"Heliophial","5dn"
3,"Plains","mrd"
3,"Island","mrd"
3,"Swamp","mrd"
3,"Mountain","mrd"
9,"Forest","mrd"
2,"Mirrodin’s Core","dst"
