edition,name,count
"ody","Diligent Farmhand",3
"jud","Krosan Wayfarer",2
"jud","Nantuko Tracer",2
"ody","Werebear",3
"jud","Anurid Swarmsnapper",2
"ody","Nantuko Elder",2
"jud","Anurid Barkripper",1
"jud","Brawn",2
"ody","Krosan Archer",1
"ody","Rabid Elephant",2
"jud","Battlefield Scrounger",2
"jud","Giant Warthog",4
"jud","Thriss, Nantuko Primus",1
"jud","Tunneler Wurm",2
"ody","Moment's Peace",2
"ody","Deep Reconnaissance",2
"ody","Seton's Desire",1
"jud","Sudden Strength",2
"jud","Grizzly Fate",1
"ody","Roar of the Wurm",2
"jud","Crush of Wurms",1
"ody","Forest",20
