edition,name,count
"tor","Mesmeric Fiend",3
"tor","Gravegouger",1
"tor","Slithery Stalker",1
"tor","Faceless Butcher",3
"tor","Soul Scourge",3
"tor","Chainer, Dementia Master",1
"tor","Enslaved Dwarf",1
"tor","Barbarian Outcast",3
"tor","Pardic Collaborator",2
"tor","Petravark",3
"tor","Petradon",1
"ody","Malevolent Awakening",1
"tor","Rancid Earth",2
"tor","Shade's Form",1
"ody","Caustic Tar",1
"ody","Firebolt",2
"ody","Flame Burst",2
"tor","Pyromania",2
"ody","Demolish",1
"tor","Temporary Insanity",2
"tor","Flaming Gambit",1
"ody","Swamp",12
"ody","Mountain",9
"tor","Tainted Peak",2
