edition,name,count
"sth","Nomads en-Kor",3
"sth","Shaman en-Kor",1
"sth","Warrior en-Kor",2
"sth","Soltari Champion",1
"tmp","Knight of Dawn",2
"tmp","Cloudchaser Eagle",1
"sth","Spirit en-Kor",4
"sth","Lancers en-Kor",2
"sth","Lab Rats",2
"sth","Skeleton Scavengers",1
"tmp","Darkling Stalker",1
"tmp","Gravedigger",2
"tmp","Screeching Harpy",1
"tmp","Flickering Ward",1
"sth","Smite",1
"tmp","Disenchant",1
"sth","Temper",1
"sth","Death Stroke",1
"tmp","Enfeeblement",2
"tmp","Dark Banishing",1
"tmp","Evincar's Justice",2
"tmp","Endless Scream",3
"tmp","Plains",13
"tmp","Swamp",11
