edition,name,count
"tmp","Mogg Fanatic",4
"tmp","Fireslinger",3
"tmp","Firefly",1
"tmp","Lightning Elemental",2
"tmp","Wild Wurm",2
"tmp","Flowstone Giant",1
"tmp","Sandstone Warrior",1
"tmp","Flowstone Salamander",1
"tmp","Magmasaur",1
"tmp","Soltari Guerrillas",1
"tmp","Coiled Tinviper",1
"tmp","Disenchant",2
"tmp","Tahngarth's Rage",1
"tmp","Searing Touch",1
"tmp","Blood Frenzy",1
"tmp","Goblin Bombardment",1
"tmp","Kindle",4
"tmp","Rolling Thunder",2
"tmp","Lightning Blast",3
"tmp","Furnace of Rath",1
"tmp","Squee's Toy",1
"tmp","Maze of Shadows",1
"tmp","Mountain",19
"tmp","Plains",5
