edition,name,count
"gpt","Scorched Rusalka",1
"rav","Sparkmage Apprentice",2
"gpt","Bloodscale Prowler",2
"rav","Indentured Oaf",1
"gpt","Dryad Sophisticate",2
"gpt","Gatherer of Graces",2
"gpt","Gruul Scrapper",2
"rav","Dowsing Shaman",2
"rav","Bramble Elemental",2
"gpt","Gruul Nodorog",1
"gpt","Battering Wurm",1
"gpt","Scab-Clan Mauler",1
"gpt","Burning-Tree Bloodscale",1
"gpt","Streetbreaker Wurm",1
"gpt","Skarrgan Skybreaker",2
"gpt","Borborygmos",1
"gpt","Wild Cantor",1
"gpt","Gruul Guildmage",1
"gpt","Fencer's Magemark",3
"rav","Fists of Ironwood",2
"gpt","Beastmaster's Magemark",3
"gpt","Wildsize",1
"gpt","Wurmweaver Coil",1
"rav","Mountain",11
"rav","Forest",12
"gpt","Skarrg, the Rage Pits",1
