edition,name,count
"rav","Lore Broker",2
"rav","Vedalken Entrancer",3
"rav","Wizened Snitches",2
"rav","Belltower Sphinx",2
"rav","Dimir House Guard",2
"rav","Mausoleum Turnkey",1
"rav","Sewerdreg",2
"rav","Dimir Infiltrator",2
"rav","Szadek, Lord of Secrets",1
"rav","Lurking Informant",3
"rav","Dimir Guildmage",1
"rav","Induce Paranoia",2
"rav","Dream Leash",1
"rav","Last Gasp",2
"rav","Ribbons of Night",1
"rav","Disembowel",2
"rav","Consult the Necrosages",3
"rav","Clutch of the Undercity",1
"rav","Psychic Drain",2
"rav","Dimir Signet",1
"rav","Island",11
"rav","Swamp",10
"rav","Dimir Aqueduct",2
"rav","Duskmantle, House of Shadow",1
