1,"Foundry Street Denizen","gtc"
1,"Arbor Elf","m13"
1,"Skinbrand Goblin","gtc"
2,"Disciple of the Old Ways","gtc"
1,"Skarrg Guildmage","gtc"
2,"Centaur Courser","m13"
1,"Slaughterhorn","gtc"
2,"Viashino Shanktail","gtc"
1,"Primal Huntbeast","m13"
1,"Scab-Clan Charger","gtc"
1,"Ghor-Clan Rampager","gtc"
2,"Fire Elemental","m13"
2,"Zhur-Taa Swine","gtc"
1,"Ripscale Predator","gtc"
1,"Rubblehulk","gtc"
2,"Ruination Wurm","gtc"
1,"Duskdale Wurm","m13"
1,"Gruul Ragebeast","gtc"
2,"Ground Assault","gtc"
1,"Ranger's Path","m13"
1,"Pit Fight","gtc"
1,"Predator's Rapport","gtc"
1,"Volcanic Geyser","m13"
2,"Gruul Keyrune","gtc"
1,"Alpha Authority","gtc"
1,"Verdant Haven","gtc"
1,"Gruul Guildgate","gtc"
12,"Mountain","rtr"
13,"Forest","rtr"
