edition,name,count
"rtr","Blistercoil Weird",2
"m13","Welkin Tern",1
"rtr","Goblin Electromancer",2
"rtr","Nivix Guildmage",1
"rtr","Guttersnipe",2
"rtr","Runewing",3
"rtr","Cobblebrute",3
"rtr","Hypersonic Dragon",1
"rtr","Tenement Crasher",1
"m13","Krenko's Command",2
"rtr","Mizzium Mortars",1
"rtr","Teleportal",1
"m13","Wild Guess",1
"rtr","Goblin Rally",2
"rtr","Blustersquall",1
"rtr","Downsize",1
"rtr","Electrickery",2
"rtr","Annihilating Fire",2
"m13","Chandra's Fury",1
"rtr","Thoughtflare",1
"rtr","Explosive Impact",1
"rtr","Izzet Keyrune",2
"rtr","Pursuit of Flight",1
"rtr","Izzet Guildgate",1
"rtr","Island",12
"rtr","Mountain",12
