2,"Iron Myr","som"
1,"Silver Myr","som"
2,"Blisterstick Shaman","mbs"
2,"Koth's Courier","mbs"
2,"Neurok Commando","mbs"
2,"Peace Strider","mbs"
2,"Ogre Resister","mbs"
1,"Fire Servant","m11"
1,"Galvanoth","mbs"
2,"Lumengrid Gargoyle","mbs"
1,"Preordain","m11"
2,"Arc Trail","som"
2,"Call to Mind","m11"
2,"Foresee","m11"
1,"Melt Terrain","som"
1,"Sleep","m11"
2,"Lava Axe","m11"
1,"Red Sun's Zenith","mbs"
1,"Crush","mbs"
1,"Lightning Bolt","m11"
1,"Burn the Impure","mbs"
1,"Turn the Tide","mbs"
1,"Rally the Forces","mbs"
2,"Quicksilver Geyser","mbs"
13,"Mountain","mbs"
11,"Island","mbs"
