edition,name,count
"som","Copper Myr",3
"som","Gold Myr",3
"nph","Suture Priest",2
"som","Palladium Myr",2
"nph","Blade Splicer",1
"nph","Master Splicer",3
"nph","Vital Splicer",2
"som","Golem Artisan",1
"som","Precursor Golem",1
"m11","Stone Golem",1
"nph","Sensor Splicer",2
"m11","Garruk's Packleader",1
"nph","Phyrexian Hulk",1
"nph","Brutalizer Exarch",1
"nph","Maul Splicer",1
"m11","Cultivate",2
"m11","Giant Growth",1
"m11","Mighty Leap",1
"nph","Glissa's Scorn",1
"nph","War Report",2
"nph","Conversion Chamber",1
"nph","Viridian Harvest",1
"nph","Forced Worship",2
"nph","Plains",12
"nph","Forest",12
