edition,name,count
"nph","Furnace Scamp",2
"som","Blistergrub",2
"mbs","Phyrexian Rager",2
"mbs","Blisterstick Shaman",2
"m11","Prodigal Pyromancer",1
"nph","Tormentor Exarch",2
"nph","Entomber Exarch",2
"som","Scoria Elemental",1
"mbs","Caustic Hound",2
"nph","Flameborn Viron",2
"nph","Chancellor of the Dross",1
"nph","Despise",1
"m11","Disentomb",1
"nph","Whipflare",1
"mbs","Morbid Plunder",1
"nph","Ichor Explosion",1
"mbs","Go for the Throat",1
"m11","Fling",1
"nph","Geth's Verdict",2
"nph","Artillerize",2
"nph","Shrine of Burning Rage",2
"som","Tower of Calamities",1
"nph","Parasitic Implant",2
"nph","Enslave",1
"nph","Swamp",13
"nph","Mountain",11
