2,"Immolating Souleater","nph"
1,"Cathedral Membrane","nph"
1,"Inquisitor Exarch","nph"
2,"Blinding Souleater","nph"
3,"Porcelain Legionnaire","nph"
2,"Kemba's Skyguard","som"
1,"Ogre Resister","mbs"
3,"Slash Panther","nph"
1,"Shattered Angel","nph"
1,"Lumengrid Gargoyle","mbs"
1,"Moltensteel Dragon","nph"
1,"Solemn Offering","m11"
1,"Phyrexian Rebirth","mbs"
1,"Incite","m11"
1,"Lightning Bolt","m11"
1,"Gut Shot","nph"
1,"Marrow Shards","nph"
2,"Whitesun's Passage","som"
1,"Apostle's Blessing","nph"
2,"Act of Aggression","nph"
2,"Golem's Heart","som"
1,"Pristine Talisman","nph"
2,"Rage Extractor","nph"
2,"Pacifism","m11"
11,"Mountain","nph"
13,"Plains","nph"
