edition,name,count
"m11","Elite Vanguard",4
"zen","Kor Duelist",2
"wwk","Stoneforge Mystic",2
"mbs","Leonin Relic-Warder",4
"mbs","Leonin Skyhunter",4
"nph","Puresteel Paladin",1
"nph","Porcelain Legionnaire",4
"som","Kemba, Kha Regent",1
"mbs","Mirran Crusader",1
"nph","Apostle's Blessing",1
"som","Darksteel Axe",1
"mbs","Flayer Husk",4
"nph","Sickleslicer",1
"m11","Sword of Vengeance",1
"mbs","Bonehoard",1
"mbs","Skinwing",1
"zen","Journey to Nowhere",4
"wwk","Dread Statuary",2
"nph","Plains",21
