edition,name,count
"shm","Leech Bonder",2
"shm","River Kelpie",1
"shm","Sickle Ripper",1
"shm","Faerie Macabre",1
"shm","Loch Korrigan",1
"shm","Oona's Gatewarden",1
"shm","Inkfathom Witch",1
"shm","Wasp Lancer",2
"shm","Wanderbrine Rootcutters",2
"shm","Gravelgill Axeshark",3
"shm","Chainbreaker",2
"shm","Wingrattle Scarecrow",3
"shm","Grim Poppet",1
"shm","Gloomlance",1
"shm","Incremental Blight",1
"shm","Scarscale Ritual",2
"shm","River's Grasp",2
"shm","Fate Transfer",2
"shm","Trip Noose",2
"shm","Gnarled Effigy",1
"shm","Biting Tether",1
"shm","Torture",1
"shm","Helm of the Ghastlord",1
"shm","Island",12
"shm","Swamp",12
"shm","Inkfathom Infiltrator",1
