edition,name,count
"shm","Juvenile Gloomwidow",2
"shm","Farhaven Elf",3
"shm","Mossbridge Troll",1
"shm","Scuzzback Scrapper",2
"shm","Tattermunge Duo",2
"shm","Boggart Ram-Gang",1
"shm","Mudbrawler Raiders",2
"shm","Scuttlemutt",2
"shm","Jaws of Stone",3
"shm","Gleeful Sabotage",1
"shm","Tower Above",1
"shm","Howl of the Night Pack",3
"shm","Fossil Find",2
"shm","Puncture Bolt",2
"shm","Flame Javelin",2
"shm","Elsewhere Flask",4
"shm","Illuminated Folio",1
"shm","Prismatic Omen",1
"shm","Runes of the Deus",1
"shm","Mountain",10
"shm","Forest",14
