2,"Devoted Druid","shm"
2,"Drove of Elves","shm"
3,"Safehold Sentry","shm"
1,"Barrenton Medic","shm"
1,"Resplendent Mentor","shm"
2,"Pale Wayfarer","shm"
1,"Elvish Hexhunter","shm"
1,"Rhys the Redeemed","shm"
1,"Seedcradle Witch","shm"
1,"Wilt-Leaf Cavaliers","shm"
2,"Safehold Duo","shm"
1,"Wilt-Leaf Liege","shm"
2,"Old Ghastbark","shm"
2,"Pili-Pala","shm"
2,"Gleeful Sabotage","shm"
1,"Toil to Renown","shm"
1,"Dawnglow Infusion","shm"
1,"Gloomwidow's Feast","shm"
1,"Barkshell Blessing","shm"
2,"Mercy Killing","shm"
1,"Revelsong Horn","shm"
1,"Umbral Mantle","shm"
3,"Presence of Gond","shm"
1,"Shield of the Oversoul","shm"
11,"Forest","shm"
12,"Plains","shm"
1,"Sapseep Forest","shm"
