1,"Cryptbreaker","emn"
1,"Wailing Ghoul","emn"
2,"Seagraf Skaab","soi"
2,"Tattered Haunter","emn"
1,"Crow of Dark Tidings","soi"
2,"Liliana's Elite","emn"
2,"Exultant Cultist","emn"
1,"Reckless Scholar","soi"
2,"Stitched Mangler","soi"
1,"Laboratory Brute","emn"
1,"Stitchwing Skaab","soi"
1,"Lamplighter of Selhoff","soi"
2,"Advanced Stitchwing","emn"
1,"Noosegraf Mob","emn"
3,"Cemetery Recruitment","emn"
1,"Liliana's Indignation","soi"
2,"Compelling Deterrence","soi"
1,"Succumb to Temptation","emn"
1,"Murder","emn"
1,"Throttle","soi"
2,"Graf Harvest","emn"
2,"Spontaneous Mutation","emn"
1,"Ghostly Wings","soi"
1,"Boon of Emrakul","emn"
13,"Swamp","soi"
12,"Island","soi"
