edition,name,count
"emn","Bold Impaler",2
"emn","Furyblade Vampire",2
"emn","Noose Constrictor",1
"emn","Primal Druid",2
"soi","Quilled Wolf",2
"emn","Brazen Wolves",3
"soi","Howlpack Wolf",2
"soi","Silverfur Partisan",1
"soi","Mad Prophet",1
"soi","Voldaren Duelist",1
"emn","Somberwald Stag",2
"emn","Assembled Alphas",1
"emn","Prey Upon",2
"soi","Magmatic Chasm",1
"soi","Lightning Axe",1
"soi","Rush of Adrenaline",1
"soi","Clip Wings",1
"soi","Uncaged Fury",1
"emn","Clear Shot",1
"emn","Spreading Flames",2
"emn","Blood Mist",2
"emn","Wolfkin Bond",3
"soi","Mountain",13
"soi","Forest",12
