edition,name,count
"ala","Dregscape Zombie",1
"con","Zombie Outlander",2
"con","Brackwater Elemental",1
"ala","Kathari Screecher",2
"con","Pestilent Kathari",1
"con","Sedraxis Alchemist",2
"ala","Kederekt Creeper",1
"ala","Fire-Field Ogre",1
"con","Grixis Slavedriver",2
"con","Extractor Demon",1
"con","Blood Tyrant",1
"ala","Infest",1
"con","Absorb Vis",2
"10e","Shock",2
"10e","Terror",1
"ala","Agony Warp",1
"con","Bone Saw",1
"con","Elder Mastery",1
"ala","Island",3
"ala","Swamp",7
"ala","Mountain",3
"ala","Crumbling Necropolis",2
"10e","Terramorphic Expanse",2
