edition,name,count
"con","Wandering Goblins",1
"con","Ember Weaver",1
"con","Matca Rioters",2
"con","Aven Trailblazer",1
"ala","Woolly Thoctar",1
"con","Kranioceros",1
"con","Beacon Behemoth",1
"con","Paleoloth",1
"con","Meglonoth",1
"con","Vagrant Plowbeasts",1
"10e","Rampant Growth",2
"con","Shard Convergence",1
"con","Spore Burst",2
"con","Might of Alara",1
"con","Path to Exile",1
"con","Drag Down",1
"con","Sylvan Bounty",2
"con","Kaleidostone",1
"con","Manaforce Mace",1
"10e","Pacifism",1
"ala","Plains",3
"ala","Island",1
"ala","Swamp",1
"ala","Mountain",3
"ala","Forest",6
"10e","Terramorphic Expanse",3
