edition,name,count
"ala","Wild Nacatl",2
"ala","Cylian Elf",2
"ala","Druid of the Anima",2
"ala","Naya Battlemage",1
"ala","Woolly Thoctar",2
"ala","Mosstodon",1
"ala","Rakeclaw Gargantuan",2
"ala","Cavern Thoctar",1
"ala","Bull Cerodon",1
"ala","Spearbreaker Behemoth",1
"10e","Rampant Growth",2
"ala","Gift of the Gargantuan",2
"ala","Titanic Ultimatum",1
"10e","Blaze",1
"10e","Giant Growth",2
"ala","Naturalize",1
"ala","Mountain",3
"ala","Forest",7
"ala","Plains",3
"ala","Jungle Shrine",2
"ala","Naya Panorama",2
