edition,name,count
"bng","Cyclops of One-Eyed Pass",2
"bng","Fanatic of Xenagos",2
"ths","Mistcutter Hydra",1
"ths","Nessian Courser",1
"bng","Nessian Demolok",2
"bng","Nessian Wilds Ravager",1
"ths","Opaline Unicorn",1
"bng","Pharagax Giant",1
"bng","Reckless Reveler",2
"ths","Satyr Piper",1
"bng","Setessan Starbreaker",1
"bng","Snake of the Golden Grove",2
"bng","Swordwise Centaur",2
"bng","Thunder Brute",1
"ths","Voyaging Satyr",2
"bng","Mischief and Mayhem",1
"bng","Pinnacle of Rage",1
"ths","Destructive Revelry",1
"bng","Fall of the Hammer",1
"ths","Lightning Strike",2
"bng","Mortal's Resolve",2
"bng","Searing Blood",1
"ths","Messenger's Speed",1
"ths","Ordeal of Nylea",2
"ths","Forest",14
"ths","Mountain",12
