2,"Satyr Rambler","ths"
2,"Satyr Hedonist","ths"
2,"Voyaging Satyr","ths"
2,"Minotaur Skullcleaver","ths"
1,"Nessian Courser","ths"
1,"Rootwalla","m14"
1,"Satyr Piper","ths"
1,"Ill-Tempered Cyclops","ths"
2,"Borderland Minotaur","ths"
1,"Ember Swallower","ths"
1,"Polis Crusher","ths"
2,"Nessian Asp","ths"
2,"Stoneshock Giant","ths"
2,"Nemesis of Mortals","ths"
1,"Portent of Betrayal","ths"
2,"Rage of Purphoros","ths"
2,"Lightning Strike","ths"
2,"Magma Jet","ths"
1,"Destructive Revelry","ths"
1,"Artisan's Sorrow","ths"
1,"Windstorm","m14"
2,"Volcanic Geyser","m14"
1,"Dragon Mantle","ths"
14,"Mountain","ths"
11,"Forest","ths"
