edition,name,count
"fut","Grinning Ignus",3
"fut","Bloodshot Trainee",2
"fut","Fomori Nomad",1
"fut","Skizzik Surger",1
"fut","Boldwyr Intimidator",1
"fut","Spellwild Ouphe",1
"fut","Thornweald Archer",3
"fut","Nessian Courser",3
"fut","Centaur Omenreader",2
"fut","Imperiosaur",2
"fut","Baru, Fist of Krosa",1
"fut","Sporoloth Ancient",3
"fut","Nacatl War-Pride",1
"fut","Quagnoth",1
"fut","Emblem of the Warmind",1
"fut","Flowstone Embrace",3
"fut","Ghostfire",3
"fut","Edge of Autumn",3
"fut","Phosphorescent Feast",1
"tsp","Mountain",9
"tsp","Forest",14
"fut","Dryad Arbor",1
