edition,name,count
"tsp","Deathspore Thallid",3
"tsb","Thallid",2
"tsp","Pendelhaven Elder",2
"tsp","Thallid Shell-Dweller",3
"tsp","Thelon of Havenwood",1
"tsp","Thallid Germinator",3
"tsp","Wormwood Dryad",1
"tsp","Herd Gnarr",2
"tsp","Sporesower Thallid",2
"tsp","Savage Thallid",2
"tsp","Feebleness",1
"tsp","Assassinate",1
"tsp","Fallen Ideal",2
"tsp","Sudden Death",2
"tsp","Dread Return",1
"tsp","Might of Old Krosa",1
"tsp","Sprout",2
"tsp","Strength in Numbers",2
"tsp","Krosan Grip",1
"tsp","Verdant Embrace",1
"tsb","Claws of Gix",1
"tsp","Swamp",10
"tsp","Forest",13
"tsb","Pendelhaven",1
