edition,name,count
"tsb","Icatian Javelineers",3
"tsp","Benalish Cavalry",3
"tsp","Errant Doomsayers",2
"tsp","Knight of the Holy Nimbus",3
"tsp","Icatian Crier",1
"tsp","Outrider en-Kor",2
"tsb","Zhalfirin Commander",2
"tsp","Cloudchaser Kestrel",1
"tsp","D'Avenant Healer",2
"tsp","Foriysian Interceptor",2
"tsp","Cavalry Master",2
"tsp","Celestial Crusader",1
"tsp","Gustcloak Cavalier",1
"tsp","Pentarch Paladin",1
"tsp","Ivory Giant",1
"tsp","Brass Gnat",2
"tsp","Gaze of Justice",3
"tsp","Fortify",1
"tsp","Divine Congregation",1
"tsp","Sarpadian Empires, Vol. VII",1
"tsp","Thunder Totem",2
"tsp","Plains",23
