edition,name,count
"tsp","Sage of Epityr",1
"tsb","Giant Oyster",2
"tsp","Viscerid Deepwalker",3
"tsp","Riftwing Cloudskate",3
"tsp","Errant Ephemeron",1
"tsp","Deep-Sea Kraken",1
"tsp","Coal Stoker",2
"tsp","Keldon Halberdier",2
"tsp","Pardic Dragon",1
"tsp","Jhoira's Timebug",1
"tsp","Clockwork Hydra",1
"tsp","Clockspinning",2
"tsb","Whispers of the Muse",1
"tsp","Careful Consideration",1
"tsp","Ground Rift",1
"tsp","Grapeshot",4
"tsp","Rift Bolt",1
"tsp","Empty the Warrens",3
"tsp","Ignite Memories",2
"tsb","Claws of Gix",2
"tsb","Serrated Arrows",1
"tsp","Island",12
"tsp","Mountain",11
"tsp","Dreadship Reef",1
