2,"Two-Headed Sliver","tsp"
3,"Bonesplitter Sliver","tsp"
2,"Fury Sliver","tsp"
4,"Gemhide Sliver","tsp"
1,"Fungus Sliver","tsp"
2,"Might Sliver","tsp"
3,"Sidewinder Sliver","tsp"
3,"Quilled Sliver","tsp"
3,"Watcher Sliver","tsp"
1,"Pulmonic Sliver","tsp"
2,"Spined Sliver","tsb"
1,"Harmonic Sliver","tsp"
2,"Venser's Sliver","tsp"
1,"Avoid Fate","tsb"
2,"Strength in Numbers","tsp"
1,"Molder","tsp"
2,"Spirit Loop","tsp"
6,"Mountain","tsp"
8,"Forest","tsp"
8,"Plains","tsp"
1,"Gemstone Mine","tsb"
2,"Terramorphic Expanse","tsp"
