edition,name,count
"ulg","Raven Familiar",1
"uds","Kingfisher",3
"uds","Thieving Magpie",2
"usg","Goblin War Buggy",2
"ulg","Viashino Sandscout",3
"uds","Wild Colos",4
"uds","Goblin Berserker",2
"uds","Keldon Champion",2
"ulg","Viashino Cutthroat",2
"usg","Thundering Giant",1
"uds","Goblin Marshal",1
"usg","Curfew",2
"uds","Fatigue",2
"uds","Mark of Fury",1
"ulg","Parch",1
"usg","Arc Lightning",3
"ulg","Ghitu War Cry",1
"uds","Trumpet Blast",1
"uds","Aether Sting",1
"usg","Jagged Lightning",1
"uds","Urza's Incubator",1
"usg","Island",9
"usg","Mountain",14
