edition,name,count
"usg","Opal Titan",1
"usg","Barrin's Codex",1
"usg","Songstitcher",2
"usg","Monk Idealist",1
"usg","Voice of Grace",1
"usg","Clear",2
"usg","Humble",2
"usg","Waylay",1
"usg","Serra's Embrace",1
"usg","Endoskeleton",1
"usg","Dragon Blood",2
"usg","Drifting Meadow",4
"usg","Opal Caryatid",2
"usg","Angelic Page",3
"usg","Disciple of Grace",1
"usg","Disciple of Law",1
"usg","Monk Realist",2
"usg","Opal Gargoyle",3
"usg","Pegasus Charger",3
"usg","Sanctum Custodian",1
"usg","Brilliant Halo",4
"usg","Disenchant",1
"usg","Pacifism",2
"usg","Plains",18
