edition,name,count
"bng","Aerie Worshippers",2
"bng","Arbiter of the Ideal",1
"bng","Black Oak of Odunos",2
"ths","Breaching Hippocamp",1
"bng","Deepwater Hypnotist",2
"ths","Felhide Minotaur",1
"bng","Forlorn Pseudamma",1
"ths","Horizon Scholar",1
"ths","Insatiable Harpy",1
"ths","Returned Phalanx",2
"bng","Servant of Tymaret",2
"ths","Shipwreck Singer",1
"bng","Siren of the Silent Song",1
"bng","Sphinx's Disciple",2
"bng","Warchanter of Mogis",1
"ths","Curse of the Swine",1
"ths","Sip of Hemlock",1
"ths","Thassa's Bounty",1
"ths","Griptide",2
"bng","Retraction Helix",2
"bng","Siren Song Lyre",1
"bng","Springleaf Drum",1
"bng","Evanescent Intellect",2
"bng","Oracle's Insight",1
"ths","Island",15
"ths","Swamp",11
"ths","Triton Shorethief",1
