edition,name,count
"ths","Coastline Chimera",1
"bng","Flitterstep Eidolon",1
"bng","Floodtide Serpent",2
"bng","Ghostblade Eidolon",2
"bng","Great Hart",2
"bng","Griffin Dreamfinder",2
"ths","Heliod's Emissary",2
"ths","Hopeful Eidolon",1
"ths","Lagonna-Band Elder",1
"bng","Nyxborn Shieldmate",2
"bng","Nyxborn Triton",2
"bng","Pillar of War",1
"bng","Silent Sentinel",1
"ths","Thassa's Emissary",1
"ths","Traveling Philosopher",2
"ths","Yoked Ox",1
"bng","Divination",1
"bng","Excoriate",1
"ths","Vanquish the Foul",1
"ths","Griptide",1
"bng","Hold at Bay",1
"bng","Eternity Snare",1
"ths","Gift of Immortality",1
"ths","Ordeal of Heliod",2
"bng","Sunbond",1
"ths","Island",10
"ths","Plains",16
