edition,name,count
"kld","Chandra, Torch of Defiance",1
"akh","Hazoret the Fervent",1
"akh","Soul-Scar Mage",3
"kld","Bomat Courier",4
"aer","Kari Zev, Skyship Raider",3
"akh","Harsh Mentor",3
"akh","Glorybringer",1
"rix","Fanatical Firebrand",4
"akh","Ahn-Crop Crasher",4
"aer","Shock",4
"xln","Lightning Strike",4
"hou","Abrade",2
"akh","Magma Spray",2
"akh","Sunscorched Desert",4
"rix","Mountain",20
"akh","Magma Spray",2
"kld","Key to the City",2
"kld","Pia Nalaar",2
"aer","Kari Zev's Expertise",2
"xln","Sentinel Totem",3
"hou","Chandra's Defeat",4
