edition,name,count
"war","Nissa, Who Shakes the World",3
"war","Paradise Druid",4
"rna","Incubation Druid",2
"eld","Maraleaf Pixie",4
"rna","Frilled Mystic",4
"m20","Voracious Hydra",4
"rna","Hydroid Krasis",1
"rna","Growth Spiral",4
"grn","Chemister's Insight",4
"rna","Mass Manipulation",4
"eld","Island",9
"eld","Forest",8
"rna","Breeding Pool",1
"m20","Temple of Mystery",4
"eld","Thornwood Falls",4
"m20","Healer of the Glade",2
"m20","Cerulean Drake",3
"m20","Veil of Summer",3
"m20","Aether Gust",3
"grn","Disdainful Stroke",2
"m20","Negate",2
