edition,name,count
"war","Gideon Blackblade",2
"war","Burning Prophet",4
"war","Tenth District Legionnaire",4
"war","Dreadhorde Arcanist",2
"rna","Tithe Taker",2
"war","Feather, the Redeemed",4
"grn","Legion Warboss",2
"war","Defiant Strike",4
"m20","Gods Willing",4
"war","Samut's Sprint",4
"m20","Shock",4
"eld","Plains",8
"eld","Mountain",6
"grn","Sacred Foundry",2
"m20","Temple of Triumph",4
"eld","Wind-Scarred Crag",4
"war","Tomik, Distinguished Advokist",2
"grn","Aurelia, Exemplar of Justice",1
"grn","Lava Coil",4
"m20","Devout Decree",2
"m20","Fry",2
"war","Prison Realm",2
"war","Tibalt, Rakish Instigator",2
