edition,name,count
"chk","Ashen-Skin Zubera",2
"chk","Thief of Hope",2
"chk","Gibbering Kami",2
"chk","Scuttling Death",2
"chk","Iname, Death Aspect",1
"chk","Kami of Lunacy",2
"chk","Hana Kami",2
"chk","Dripping-Tongue Zubera",2
"chk","Soilshaper",2
"chk","Kami of the Hunt",2
"chk","Burr Grafter",2
"chk","Venerable Kumo",2
"chk","Swallowing Plague",2
"chk","Devouring Greed",1
"chk","Dance of Shadows",1
"chk","Kodama's Reach",2
"chk","Pull Under",2
"chk","Kodama's Might",2
"chk","Long-Forgotten Gohei",1
"chk","Honden of Night's Reach",1
"chk","Honden of Life's Web",1
"chk","Swamp",12
"chk","Forest",12
