edition,name,count
"6ed","Ardent Militia",1
"6ed","Blood Pet",1
"6ed","Drudge Skeletons",1
"6ed","Giant Spider",1
"6ed","Gravebane Zombie",1
"6ed","Hidden Horror",1
"6ed","Llanowar Elves",1
"6ed","Mischievous Poltergeist",1
"6ed","Panther Warriors",1
"6ed","Samite Healer",1
"6ed","Scaled Wurm",1
"6ed","Trained Armodon",1
"6ed","Call of the Wild",1
"6ed","Enfeeblement",1
"6ed","Giant Growth",1
"6ed","Healing Salve",1
"6ed","Terror",1
"6ed","Warrior's Honor",1
"6ed","Creeping Mold",1
"6ed","Raise Dead",1
"6ed","Rampant Growth",1
"6ed","Obsianus Golem",1
"6ed","Rod of Ruin",1
"6ed","Forest",7
"6ed","Plains",3
"6ed","Swamp",7
