edition,name,count
"csp","Darien, King of Kjeldor",1
"csp","Field Marshal",1
"csp","Jötun Grunt",1
"csp","Jötun Owl Keeper",1
"cst","Kjeldoran Elite Guard",2
"csp","Kjeldoran Gargoyle",1
"cst","Kjeldoran Home Guard",1
"csp","Kjeldoran Outrider",3
"csp","Surging Sentinels",4
"cst","Zuran Spellcaster",2
"cst","Portent",2
"cst","Brainstorm",3
"cst","Disenchant",1
"cst","Lat-Nam's Legacy",2
"cst","Reinforcements",1
"cst","Scars of the Veteran",1
"csp","Surging Aether",4
"cst","Swords to Plowshares",1
"cst","Binding Grasp",1
"cst","Kjeldoran Pride",1
"cst","Wings of Aesthir",2
"csp","Boreal Shelf",2
"cst","Island",11
"cst","Plains",11
