edition,name,count
"cmd","Kaalia of the Vast",1
"cmd","Plains",8
"cmd","Swamp",8
"cmd","Mountain",8
"cmd","Mother of Runes",1
"cmd","Orzhov Guildmage",1
"cmd","Boros Guildmage",1
"cmd","Gwyllion Hedge-Mage",1
"cmd","Duergar Hedge-Mage",1
"cmd","Lightkeeper of Emeria",1
"cmd","Razorjaw Oni",1
"cmd","Anger",1
"cmd","Voice of All",1
"cmd","Dragon Whelp",1
"cmd","Furnace Whelp",1
"cmd","Serra Angel",1
"cmd","Shattered Angel",1
"cmd","Fallen Angel",1
"cmd","Basandra, Battle Seraph",1
"cmd","Oni of Wild Places",1
"cmd","Mana-Charged Dragon",1
"cmd","Oros, the Avenger",1
"cmd","Malfegor",1
"cmd","Angelic Arbiter",1
"cmd","Archangel of Strife",1
"cmd","Tariel, Reckoner of Souls",1
"cmd","Angel of Despair",1
"cmd","Bladewing the Risen",1
"cmd","Avatar of Slaughter",1
"cmd","Akroma, Angel of Fury",1
"cmd","Reiver Demon",1
"cmd","Dread Cacodemon",1
"cmd","Syphon Mind",1
"cmd","Diabolic Tutor",1
"cmd","Evincar's Justice",1
"cmd","Syphon Flesh",1
"cmd","Akroma's Vengeance",1
"cmd","Death by Dragons",1
"cmd","Earthquake",1
"cmd","Path to Exile",1
"cmd","Bathe in Light",1
"cmd","Terminate",1
"cmd","Orim's Thunder",1
"cmd","Mortify",1
"cmd","Congregate",1
"cmd","Return to Dust",1
"cmd","Sulfurous Blast",1
"cmd","Wrecking Ball",1
"cmd","Master Warcraft",1
"cmd","Cleansing Beam",1
"cmd","Comet Storm",1
"cmd","Sol Ring",1
"cmd","Armillary Sphere",1
"cmd","Boros Signet",1
"cmd","Lightning Greaves",1
"cmd","Orzhov Signet",1
"cmd","Rakdos Signet",1
"cmd","Darksteel Ingot",1
"cmd","Soul Snare",1
"cmd","Vow of Duty",1
"cmd","Vow of Malice",1
"cmd","Vow of Lightning",1
"cmd","Stranglehold",1
"cmd","Pyrohemia",1
"cmd","Righteous Cause",1
"cmd","Akoum Refuge",1
"cmd","Barren Moor",1
"cmd","Bojuka Bog",1
"cmd","Boros Garrison",1
"cmd","Command Tower",1
"cmd","Evolving Wilds",1
"cmd","Forgotten Cave",1
"cmd","Molten Slagheap",1
"cmd","Orzhov Basilica",1
"cmd","Rakdos Carnarium",1
"cmd","Rupture Spire",1
"cmd","Secluded Steppe",1
"cmd","Vivid Meadow",1
"cmd","Zoetic Cavern",1
