edition,name,count
"c13","Oloro, Ageless Ascetic",1
"c13","Plains",9
"c13","Swamp",9
"c13","Ajani's Pridemate",1
"c13","Augury Adept",1
"c13","Azorius Herald",1
"c13","Disciple of Griselbrand",1
"c13","Diviner Spirit",1
"c13","Divinity of Pride",1
"c13","Filigree Angel",1
"c13","Hooded Horror",1
"c13","Kongming, ""Sleeping Dragon""",1
"c13","Marrow Bats",1
"c13","Myr Battlesphere",1
"c13","Phyrexian Delver",1
"c13","Phyrexian Gargantua",1
"c13","Raven Familiar",1
"c13","Razor Hippogriff",1
"c13","Serene Master",1
"c13","Serra Avatar",1
"c13","Sharding Sphinx",1
"c13","Sharuum the Hegemon",1
"c13","Sphinx of the Steel Wind",1
"c13","Stormscape Battlemage",1
"c13","Sydri, Galvanic Genius",1
"c13","Tidal Force",1
"c13","Tidehollow Strix",1
"c13","Tower Gargoyle",1
"c13","Vizkopa Guildmage",1
"c13","Wall of Reverence",1
"c13","Brilliant Plan",1
"c13","Death Grasp",1
"c13","Deep Analysis",1
"c13","Famine",1
"c13","Order of Succession",1
"c13","Survival Cache",1
"c13","Tempt with Immortality",1
"c13","Toxic Deluge",1
"c13","Dromar's Charm",1
"c13","Lim-Dûl's Vault",1
"c13","Reckless Spite",1
"c13","Spinal Embrace",1
"c13","Crawlspace",1
"c13","Nevinyrral's Disk",1
"c13","Nihil Spellbomb",1
"c13","Obelisk of Esper",1
"c13","Pristine Talisman",1
"c13","Sol Ring",1
"c13","Sun Droplet",1
"c13","Swiftfoot Boots",1
"c13","Thopter Foundry",1
"c13","Well of Lost Dreams",1
"c13","Act of Authority",1
"c13","Cradle of Vitality",1
"c13","Curse of Inertia",1
"c13","Curse of Shallow Graves",1
"c13","Curse of the Forsaken",1
"c13","Darksteel Mutation",1
"c13","Greed",1
"c13","Phyrexian Reclamation",1
"c13","Sanguine Bond",1
"c13","Arcane Sanctum",1
"c13","Azorius Chancery",1
"c13","Azorius Guildgate",1
"c13","Barren Moor",1
"c13","Command Tower",1
"c13","Dimir Guildgate",1
"c13","Esper Panorama",1
"c13","Evolving Wilds",1
"c13","Island",6
"c13","Jwar Isle Refuge",1
"c13","Lonely Sandbar",1
"c13","Opal Palace",1
"c13","Orzhov Basilica",1
"c13","Orzhov Guildgate",1
"c13","Rupture Spire",1
"c13","Springjack Pasture",1
"c13","Temple of the False God",1
"c13","Transguild Promenade",1
